シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2023,Ｊ１,第１３節第１日,23/05/12(金),19:34,FC東京,2-1,川崎Ｆ,国立,56705,ＤＡＺＮ
2023,Ｊ１,第１６節第１日,23/06/03(土),15:03,FC東京,2-3,横浜FM,味スタ,28553,ＤＡＺＮ
2023,Ｊ１,第１８節第１日,23/06/24(土),19:03,FC東京,2-0,名古屋,味スタ,28636,ＤＡＺＮ
2023,Ｊ１,第１９節第２日,23/07/01(土),19:03,FC東京,1-0,柏,味スタ,20571,ＤＡＺＮ
2023,Ｊ１,第２１節第２日,23/07/16(日),19:03,FC東京,1-3,鹿島,味スタ,37014,ＤＡＺＮ
2023,Ｊ１,第２３節第１日,23/08/12(土),19:03,FC東京,2-0,京都,味スタ,23162,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2023,Ｊ１,第２５節第２日,23/08/26(土),19:03,FC東京,2-2,神戸,国立,48634,ＤＡＺＮ
2023,Ｊ１,第２６節第２日,23/09/03(日),19:03,FC東京,1-2,福岡,味スタ,16068,ＤＡＺＮ
2023,Ｊ１,第２８節第１日,23/09/23(土・祝),15:04,FC東京,3-2,鳥栖,味スタ,20303,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2023,Ｊ１,第２９節第３日,23/10/01(日),15:03,FC東京,3-0,Ｇ大阪,味スタ,30521,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2023,Ｊ１,第３１節第２日,23/10/28(土),15:03,FC東京,1-2,広島,味スタ,30981,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2023,Ｊ１,第３３節第２日,23/11/25(土),14:03,FC東京,1-3,札幌,味スタ,26945,ＤＡＺＮ
2024,Ｊ１,第２節第２日,24/03/02(土),15:04,FC東京,1-1,広島,味スタ,32274,ＤＡＺＮ
2024,Ｊ１,第３節第１日,24/03/09(土),16:03,FC東京,1-2,神戸,味スタ,24974,ＤＡＺＮ
2024,Ｊ１,第６節第１日,24/04/03(水),19:33,FC東京,2-1,浦和,国立,49005,ＤＡＺＮ
2024,Ｊ１,第７節第２日,24/04/07(日),17:04,FC東京,2-0,鹿島,国立,52772,ＤＡＺＮ
2024,Ｊ１,第９節第２日,24/04/21(日),15:03,FC東京,1-2,町田,味スタ,30811,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ（録）
2024,Ｊ１,第１１節第１日,24/05/03(金・祝),15:03,FC東京,2-1,京都,味スタ,26770,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2024,Ｊ１,第１３節第１日,24/05/11(土),17:03,FC東京,3-3,柏,味スタ,22325,ＤＡＺＮ
2024,Ｊ１,第１５節第２日,24/05/19(日),15:03,FC東京,1-1,横浜FM,味スタ,30411,ＤＡＺＮ
2024,Ｊ１,第１６節第２日,24/05/26(日),15:03,FC東京,0-1,Ｇ大阪,味スタ,27972,ＤＡＺＮ
2024,Ｊ１,第１８節第２日,24/06/16(日),18:03,FC東京,1-1,磐田,味スタ,24580,ＤＡＺＮ
2024,Ｊ１,第２０節第１日,24/06/26(水),19:03,FC東京,1-0,札幌,味スタ,15828,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2024,Ｊ１,第２１節第２日,24/06/30(日),18:34,FC東京,0-1,福岡,味スタ,20133,ＤＡＺＮ
2024,Ｊ１,第２３節第１日,24/07/13(土),19:03,FC東京,2-0,新潟,国立,57885,ＤＡＺＮ／ＮＨＫ　ＢＳ
2024,Ｊ１,第２６節第２日,24/08/11(日・祝),19:03,FC東京,0-3,川崎Ｆ,味スタ,37452,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2024,Ｊ１,第２７節第２日,24/08/17(土),19:03,FC東京,0-0,東京Ｖ,味スタ,39921,ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ
2024,Ｊ１,第３０節第２日,24/09/14(土),19:04,FC東京,4-1,名古屋,国立,55896,ＤＡＺＮ
2024,Ｊ１,第３３節第２日,24/10/05(土),15:03,FC東京,1-1,鳥栖,味スタ,21140,ＤＡＺＮ
2024,Ｊ１,第３５節第４日,24/11/03(日・祝),14:03,FC東京,0-2,湘南,味スタ,28337,ＤＡＺＮ／テレビ東京（録）
2024,Ｊ１,第３８節第１日,24/12/08(日),14:03,FC東京,3-0,Ｃ大阪,味スタ,32787,ＤＡＺＮ
